Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.00560109, 0.00371318, 0.00188573, 3.8603e-05, 19116, 15338, 1377
0.00624214, 0.00367125, 0.0025689, 3.8869e-05, 19130, 14921, 1458
0.00306156, 0.00221691, 0.000843051, 1.0403e-05, 19118, 15959, 1026
0.00386972, 0.00266262, 0.00120522, 1.4872e-05, 19281, 15427, 837
0.00468484, 0.00303677, 0.00164609, 2.5061e-05, 19346, 14565, 972
0.00388347, 0.002348, 0.0015339, 2.3254e-05, 19602, 15911, 1755
0.00141077, 0.000854631, 0.000555726, 9.486e-06, 19657, 15889, 1539
0.00597783, 0.00334125, 0.00263456, 3.5934e-05, 19572, 16428, 1269
0.0047767, 0.00290206, 0.00187255, 2.013e-05, 19739, 16002, 1161
0.00448814, 0.00259346, 0.0018939, 2.1625e-05, 19763, 17121, 1566
0.00550693, 0.00311912, 0.00238571, 2.8282e-05, 19872, 16623, 1080
0.00385581, 0.00255259, 0.00130184, 1.1592e-05, 19841, 16272, 621
0.00476876, 0.00319032, 0.00157573, 1.6573e-05, 20190, 16162, 513
0.00361537, 0.00246647, 0.00114783, 9.572e-06, 21235, 17599, 567
0.00449129, 0.00278024, 0.00170927, 9.682e-06, 21669, 18874, 513
0.00415323, 0.00313259, 0.00101722, 6.941e-06, 21797, 16301, 324
0.00450446, 0.00342156, 0.00108082, 9.246e-06, 22293, 17818, 405
0.0032038, 0.00237902, 0.000824063, 4.272e-06, 22744, 18551, 270
0.00121992, 0.000948587, 0.000271076, 1.273e-06, 23085, 17906, 135
0.00237892, 0.00186773, 0.000510057, 4.38e-06, 23420, 18189, 351
0.00531979, 0.00389148, 0.00142633, 5.862e-06, 23693, 18842, 135
0.00281254, 0.00227297, 0.000538434, 3.452e-06, 23986, 18529, 189
0.00279903, 0.00215874, 0.000639392, 4.108e-06, 24143, 17410, 243
0.00520274, 0.00380263, 0.0013965, 1.0801e-05, 24210, 17189, 297
0.00398947, 0.00305475, 0.000932647, 5.542e-06, 24293, 17405, 270
0.00376303, 0.00294594, 0.000814978, 4.105e-06, 24248, 16342, 189
0.00150983, 0.00107578, 0.000433154, 2.967e-06, 24878, 17237, 351
0.00383379, 0.00285747, 0.000975371, 1.1558e-05, 25040, 17271, 702
0.00390898, 0.00288037, 0.00102657, 1.0511e-05, 25479, 17791, 621
0.00391547, 0.00296751, 0.000945739, 8.118e-06, 25572, 17667, 432
0.00323556, 0.0023433, 0.000891437, 7.38e-06, 25607, 17292, 540
0.00387678, 0.00282512, 0.00104983, 7.843e-06, 25957, 17130, 405
0.00429816, 0.00328191, 0.00101462, 1.0543e-05, 26123, 17376, 540
0.00486037, 0.00309881, 0.00175977, 1.1461e-05, 26073, 19404, 648
0.00471068, 0.00301088, 0.00169887, 1.212e-05, 26025, 20552, 837
0.00577044, 0.00343839, 0.00233084, 1.682e-05, 25947, 20706, 756
0.005399, 0.00344943, 0.00194695, 1.1174e-05, 25652, 20481, 594
0.00404439, 0.00288164, 0.00116089, 8.76e-06, 25636, 18756, 486
0.0038668, 0.00278346, 0.00108248, 1.3645e-05, 25450, 17859, 972
0.00382219, 0.00292846, 0.000892624, 6.042e-06, 25409, 18085, 351
0.0060137, 0.00449903, 0.00151132, 1.3034e-05, 25449, 18147, 324
0.00392725, 0.00306062, 0.000864941, 6.531e-06, 25367, 18268, 324
0.00219245, 0.00169656, 0.000494837, 4.923e-06, 25565, 16816, 432
0.00165691, 0.00111294, 0.0005431, 2.422e-06, 25658, 17793, 270
0.00371804, 0.00285193, 0.000864367, 5.174e-06, 25824, 16911, 270
0.00391765, 0.00298406, 0.000932027, 6.057e-06, 26103, 16947, 270
0.00370841, 0.00239638, 0.00131088, 6.233e-06, 26212, 18125, 459
0.0041345, 0.00289586, 0.00123671, 7.609e-06, 25609, 17070, 405
0.00402183, 0.00304617, 0.000973417, 6.224e-06, 26055, 16156, 297
0.00386827, 0.00286424, 0.00100302, 7.511e-06, 26040, 15955, 432
0.00399255, 0.00301731, 0.000972881, 7.137e-06, 25842, 16062, 351
0.00171324, 0.00109858, 0.000613716, 3.008e-06, 26165, 17572, 405
0.0022979, 0.00155701, 0.000739866, 7.058e-06, 26125, 16219, 324
0.00506951, 0.00356474, 0.00150237, 6.759e-06, 26337, 16966, 162
0.00469899, 0.00335674, 0.00133984, 1.2355e-05, 26522, 15765, 432
0.0022012, 0.0016352, 0.000565049, 4.046e-06, 26827, 15552, 324
0.00307596, 0.00215003, 0.000925239, 6.256e-06, 27317, 18164, 432
0.00131806, 0.00091052, 0.000407179, 3.431e-06, 27232, 18364, 486
0.00419641, 0.00301941, 0.00117476, 1.1224e-05, 27047, 18080, 567
0.00473993, 0.00346451, 0.00127325, 8.64e-06, 27057, 18641, 459
0.00458305, 0.0032081, 0.00137137, 1.1437e-05, 27175, 19578, 567
0.00449082, 0.0025282, 0.00196174, 1.5859e-05, 26648, 20350, 918
0.00553844, 0.00329342, 0.00224313, 1.2762e-05, 26487, 20223, 756
0.00691502, 0.00411131, 0.00280141, 2.1403e-05, 26466, 20343, 648
0.00553203, 0.00363463, 0.00189512, 1.847e-05, 26666, 17560, 594
0.00487167, 0.00332995, 0.00154025, 1.6562e-05, 26875, 17579, 567
0.00559578, 0.00342962, 0.00216373, 2.258e-05, 26893, 19084, 1350
0.00597597, 0.00350263, 0.00247078, 2.1375e-05, 26849, 20801, 1377
